year,current_policy_high,current_policy_low,target_2030,pledges_high,pledges_low,optimistic,paris_high,paris_median,paris_low,historical
1990,,,,,,,,,,36
1991,,,,,,,,,,36
1992,,,,,,,,,,36
1993,,,,,,,,,,36
1994,,,,,,,,,,36
1995,,,,,,,,,,37
1996,,,,,,,,,,37
1997,,,,,,,,,,38
1998,,,,,,,,,,38
1999,,,,,,,,,,38
2000,,,,,,,,,,40
2001,,,,,,,,,,40
2002,,,,,,,,,,41
2003,,,,,,,,,,42
2004,,,,,,,,,,44
2005,,,,,,,,,,45
2006,,,,,,,,,,46
2007,,,,,,,,,,47
2008,,,,,,,,,,48
2009,,,,,,,,,,47
2010,,,,,,,,,,49
2011,,,,,,,,,,50
2012,,,,,,,,,,51
2013,,,,,,,,,,51
2014,,,,,,,,,,51
2015,,,,,,,,,,51
2016,,,,,,,,,,51
2017,,,,,,,,,,52
2018,,,,,,,,,,52
2019,,,,,,,,,,52
2020,,,,,,,54,52,52,50
2021,52,52,52,52,52,52,51,50,49,
2022,52,52,52,52,52,52,48,47,46,
2023,53,52,52,52,51,52,45,44,43,
2024,53,52,52,52,51,52,43,41,40,
2025,53,52,51,51,50,51,40,38,37,
2026,53,52,51,51,49,51,38,36,35,
2027,54,52,51,51,49,51,36,34,32,
2028,54,52,50,50,48,50,34,32,30,
2029,54,51,50,50,47,50,32,29,28,
2030,54,51,50,50,47,50,30,27,25,
2031,54,51,49,49,45,49,29,26,24,
2032,54,50,49,48,44,47,28,25,23,
2033,54,50,48,47,43,46,26,24,21,
2034,54,49,48,46,42,45,25,22,20,
2035,54,49,48,45,41,44,24,21,19,
2036,54,49,47,44,40,43,23,20,18,
2037,54,48,47,43,39,42,21,19,17,
2038,54,48,47,42,38,41,20,19,16,
2039,54,48,46,41,37,39,19,18,15,
2040,54,48,46,41,36,38,18,17,14,
2041,54,47,46,40,35,37,17,16,14,
2042,54,47,46,39,34,36,17,15,13,
2043,54,47,45,38,33,35,16,15,12,
2044,54,46,45,37,32,33,15,14,11,
2045,54,46,45,36,30,32,14,13,11,
2046,54,46,45,35,29,31,13,12,10,
2047,54,46,44,35,28,30,12,11,9,
2048,55,45,44,34,27,29,12,11,9,
2049,55,45,44,33,26,27,11,10,8,
2050,55,45,43,32,25,26,10,9,8,
2051,54,44,43,31,24,25,10,9,7,
2052,54,44,43,31,24,24,10,9,7,
2053,54,44,43,30,23,23,10,8,7,
2054,54,43,42,29,22,23,9,8,7,
2055,54,43,42,29,21,22,9,7,6,
2056,54,43,42,28,20,21,9,7,6,
2057,54,42,42,27,20,20,8,7,6,
2058,54,42,41,27,19,19,8,6,5,
2059,54,42,41,26,18,18,8,6,5,
2060,54,41,41,25,17,17,7,6,5,
2061,54,41,41,25,17,17,7,5,5,
2062,54,41,40,25,16,16,7,5,4,
2063,53,40,40,25,16,16,6,5,4,
2064,53,40,40,24,16,15,6,4,3,
2065,53,40,40,24,15,15,6,4,3,
2066,53,39,39,24,15,14,5,4,3,
2067,53,39,39,23,15,14,5,3,2,
2068,53,39,39,23,14,14,4,3,2,
2069,53,38,39,23,14,13,4,3,1,
2070,53,38,38,23,13,13,4,3,1,
2071,52,38,38,22,13,12,3,2,1,
2072,52,37,38,22,13,12,3,2,0,
2073,52,37,37,22,13,12,3,1,0,
2074,52,37,37,22,12,11,2,1,0,
2075,52,37,37,21,12,11,2,1,-1,
2076,52,36,36,21,12,10,2,0,-1,
2077,52,36,36,21,12,10,2,0,-1,
2078,52,36,36,21,11,10,1,-1,-2,
2079,51,36,35,20,11,9,1,-1,-2,
2080,51,36,35,20,11,9,1,-1,-2,
2081,51,35,35,20,10,9,0,-2,-3,
2082,51,35,34,20,10,9,0,-2,-3,
2083,51,35,34,19,10,9,0,-2,-3,
2084,51,35,33,19,10,9,0,-2,-4,
2085,50,34,33,19,9,9,-1,-2,-4,
2086,50,34,33,18,9,8,-1,-3,-4,
2087,50,34,32,18,9,8,-1,-3,-4,
2088,50,33,32,18,9,8,-2,-3,-5,
2089,49,33,32,18,9,8,-2,-3,-5,
2090,49,33,31,17,8,8,-2,-4,-5,
2091,49,32,31,17,8,8,-2,-4,-6,
2092,49,32,31,17,8,8,-3,-4,-6,
2093,48,32,30,17,8,8,-3,-4,-6,
2094,48,32,30,17,8,8,-3,-4,-7,
2095,48,32,30,17,8,8,-3,-5,-7,
2096,47,31,30,17,8,8,-4,-5,-7,
2097,47,31,29,16,8,8,-4,-5,-7,
2098,47,31,29,16,8,7,-4,-5,-8,
2099,46,31,29,16,8,7,-4,-5,-8,
2100,46,30,29,16,8,7,-5,-5,-8
